Thursday,May 07 2015
Hour,EB,NB,SB,WB
00:00,47,251,160,60
01:00,102,393,297,94
02:00,95,412,339,101
03:00,135,413,437,127
04:00,128,400,424,107
05:00,192,474,578,161
06:00,181,506,613,186
07:00,239,480,699,202
08:00,245,457,704,190
09:00,201,382,587,173
10:00,125,235,469,155
11:00,111,202,451,116
12:00,69,112,262,70
13:00,43,64,149,46
14:00,27,36,73,27
15:00,17,22,39,12
16:00,10,7,19,6
17:00,6,26,18,8
18:00,9,43,9,6
19:00,14,182,19,8
20:00,25,266,63,23
21:00,41,599,189,67
22:00,106,717,311,180
23:00,134,559,274,131

Friday,May 08 2015
Hour,EB,NB,SB,WB
00:00,95,442,253,98
01:00,111,434,341,107
02:00,137,474,421,102
03:00,104,296,305,88

